219,Rayan Rupert,POR,6,11.7,5.5,2.2,3.8,56.5,0.8,1.7,50.0,0.3,0.5,66.7,0.5,1.2,1.7,0.3,0.8,0.2,0.3,6.3
219,Terance Mann,LAC,6,23.5,5.5,2.2,5.7,38.2,0.2,1.7,10.0,1.0,1.5,66.7,1.7,2.2,3.8,2.0,0.7,0.0,0.7,7.3
221,Brandon Clarke,MEM,7,14.6,5.4,2.3,4.4,51.6,0.0,0.6,0.0,0.9,1.3,66.7,0.9,2.1,3.0,0.7,0.7,0.1,0.4,7.0
221,Jett Howard,ORL,7,11.0,5.4,1.9,4.9,38.2,1.4,3.9,37.0,0.3,0.3,100,0.1,1.4,1.6,0.1,0.1,0.3,0.3,4.3
223,Thomas Bryant,MIA,5,14.0,5.4,1.8,3.4,52.9,0.8,1.8,44.4,1.0,1.0,100,1.0,2.6,3.6,0.8,0.2,0.8,0.2,9.0
224,Georges Niang,CLE,7,18.3,5.3,2.0,5.0,40.0,1.1,3.6,32.0,0.1,0.3,50.0,0.7,2.9,3.6,1.1,0.4,0.1,1.0,6.4
224,Javonte Green,NOP,7,21.1,5.3,1.7,3.1,54.5,0.6,1.4,40.0,1.3,1.4,90.0,1.0,2.6,3.6,0.7,1.4,0.7,0.6,9.6
224,Kris Murray,POR,7,17.0,5.3,1.9,4.4,41.9,0.9,2.0,42.9,0.7,1.9,38.5,1.3,1.9,3.1,1.0,0.6,0.1,0.9,5.6
227,Duncan Robinson,MIA,4,16.3,5.3,2.0,7.5,26.7,1.3,5.5,22.7,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,1.3
227,Jared Butler,WAS,4,9.0,5.3,2.0,3.8,53.3,0.3,0.5,50.0,1.0,1.5,66.7,0.0,0.8,0.8,2.3,0.8,0.3,0.5,6.5
229,Kyle Filipowski,UTA,5,14.4,5.2,2.2,4.4,50.0,0.8,2.4,33.3,0.0,0.4,0.0,0.6,3.4,4.0,1.0,0.2,0.0,1.2,6.6
229,Kyshawn George,WAS,5,25.4,5.2,2.0,7.0,28.6,0.4,4.4,9.1,0.8,1.2,66.7,0.6,3.2,3.8,2.4,1.0,1.6,1.0,7.6
231,Stephon Castle,SAS,6,19.8,5.2,1.8,6.3,28.9,0.3,2.2,15.4,1.2,2.2,53.8,0.7,1.7,2.3,2.5,0.7,0.3,1.3,4.2
232,Ronald Holland II,DET,7,14.1,5.1,2.3,4.7,48.5,0.1,1.6,9.1,0.4,0.4,100,0.1,2.4,2.6,0.6,0.4,0.1,0.7,5.7
233,Isaac Okoro,CLE,7,19.0,5.0,1.6,3.6,44.0,0.9,1.7,50.0,1.0,1.6,63.6,1.0,1.6,2.6,1.1,0.9,0.4,0.3,7.1
233,Jaxson Hayes,LAL,6,15.7,5.0,2.0,2.2,92.3,0.0,0.0,0.0,1.0,1.0,100,1.7,2.5,4.2,1.2,0.3,0.7,0.8,10.3
233,Neemias Queta,BOS,6,12.2,5.0,2.3,3.3,70.0,0.0,0.2,0.0,0.3,0.3,100,2.0,2.2,4.2,0.5,0.0,0.2,0.5,8.3
233,Zach Collins,SAS,6,13.5,5.0,1.5,3.3,45.0,0.7,1.3,50.0,1.3,1.3,100,1.3,2.5,3.8,1.7,0.7,0.3,1.0,8.7
237,Kyle Anderson,GSW,6,16.2,4.8,2.0,5.3,37.5,0.5,2.7,18.8,0.3,0.7,50.0,1.2,2.3,3.5,2.3,1.7,0.5,0.5,8.7
238,Gary Payton II,GSW,6,11.2,4.7,1.8,3.2,57.9,0.3,1.0,33.3,0.7,0.7,100,0.7,0.7,1.3,1.2,1.0,0.2,0.3,6.7
239,KJ Martin,PHI,5,20.8,4.6,1.6,2.6,61.5,0.2,0.2,100,1.2,1.6,75.0,0.8,2.4,3.2,1.0,0.4,1.0,0.0,8.8
240,Jabari Walker,POR,6,12.5,4.3,1.5,3.8,39.1,0.2,1.2,14.3,1.2,1.3,87.5,1.3,2.2,3.5,0.5,0.2,0.2,0.5,5.7
240,Peyton Watson,DEN,6,15.8,4.3,1.3,5.8,22.9,0.2,1.7,10.0,1.5,1.7,90.0,1.2,1.3,2.5,0.7,0.8,0.5,0.5,3.7
242,Daniel Theis,NOP,7,15.9,4.3,1.6,3.6,44.0,0.3,1.1,25.0,0.9,1.1,75.0,0.7,3.6,4.3,1.7,0.4,0.9,1.0,8.3
242,Donovan Clingan,POR,7,12.9,4.3,1.7,3.1,54.5,0.1,0.3,50.0,0.7,1.1,62.5,2.4,3.3,5.7,0.0,0.3,1.6,0.7,9.3
244,Patrick Baldwin Jr.,WAS,4,5.0,4.3,1.8,3.3,53.8,0.8,1.5,50.0,0.0,0.0,0.0,0.3,0.8,1.0,0.3,0.3,0.3,0.0,4.5
245,Marvin Bagley III,WAS,5,6.4,4.2,1.6,3.2,50.0,0.0,0.6,0.0,1.0,1.4,71.4,1.4,1.8,3.2,0.2,0.0,0.2,0.6,5.2
246,Julian Phillips,CHI,6,13.8,4.2,1.3,3.8,34.8,0.8,2.7,31.3,0.7,0.8,80.0,0.5,1.0,1.5,0.5,0.8,0.0,0.7,3.7
246,Mason Plumlee,PHX,6,17.2,4.2,1.5,2.7,56.3,0.0,0.0,0.0,1.2,2.3,50.0,1.5,3.8,5.3,1.0,0.5,0.8,0.7,8.8
246,Max Christie,LAL,6,17.3,4.2,1.0,3.2,31.6,0.5,2.0,25.0,1.7,1.8,90.9,0.7,1.5,2.2,1.2,0.5,0.3,0.8,5.2
249,Ajay Mitchell,OKC,6,14.0,4.0,1.7,3.5,47.6,0.5,0.8,60.0,0.2,0.3,50.0,0.3,1.5,1.8,1.5,0.7,0.2,0.8,5.3
249,Gary Harris,ORL,7,17.4,4.0,1.4,4.6,31.3,1.1,3.4,33.3,0.0,0.0,0.0,0.4,1.1,1.6,0.4,0.1,0.6,0.4,3.1
249,Jeremiah Robinson-Earl,NOP,7,11.7,4.0,1.4,3.1,45.5,0.7,1.3,55.6,0.4,0.4,100,1.7,1.0,2.7,0.9,0.3,0.0,0.7,5.4
252,Jarace Walker,IND,6,9.0,3.8,1.3,3.0,44.4,0.5,1.5,33.3,0.7,0.7,100,0.5,1.0,1.5,0.8,1.0,0.0,1.0,4.5
252,Keon Johnson,BKN,6,9.3,3.8,1.5,3.0,50.0,0.3,1.5,22.2,0.5,0.7,75.0,0.3,2.0,2.3,0.3,0.5,0.3,0.2,5.5
